AG.LND.AGRI.ZS,AG.LND.EL5M.UR.ZS,AG.LND.FRST.ZS,BG.GSR.NFSV.GD.ZS,BM.GSR.TRVL.ZS,BM.KLT.DINV.WD.GD.ZS,BN.GSR.MRCH.CD,BN.KLT.DINV.CD,BX.TRF.PWKR.DT.GD.ZS,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,DT.DOD.ALLC.ZS,DT.DOD.DSTC.IR.ZS,DT.DOD.PVLX.GN.ZS,DT.INT.DECT.GN.ZS,DT.ODA.ODAT.GI.ZS,EG.ELC.ACCS.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.RNEW.ZS,EG.IMP.CONS.ZS,EN.ATM.GHGO.ZG,EN.POP.DNST,ER.H2O.FWTL.ZS,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,FB.CBK.DPTR.P3,GC.FIN.FRGN.GD.ZS,GC.REV.SOCL.ZS,GC.TAX.EXPT.ZS,GC.TAX.GSRV.RV.ZS,GDPdelta,GDPpercentgrowth,IT.CEL.SETS.P2,IT.NET.USER.P2,MS.MIL.TOTL.TF.ZS,MS.MIL.XPND.GD.ZS,NE.TRD.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TETC.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.COM.DURS,country code,country_name,income_group,per_allsp.cov_pop_tot,region,growthInd
57.5706599796,,11.5685225192,13.0380785435,9.1938688221,14.8722883591,17494480333.3,1809388000.0,3.25881754828,,,32.1783,19.1950786091,,0.289702291218,2.83414722841,,88.8745127024,11.1219539784,11.1254872976,-370.757911198,97.1471744009,106.068140558,150.462107209,22.5195286828,69.0121712824,252.935049072,-0.203289619894,5.73821394082,0.00806004106144,15.2300302816,3648686732.33,8.76468636609,70.5357563683,19.6733333333,1.90484391236,3.16027591548,86.8771925821,6.53985863933,5.04271191533,66.600014636,26.8601267247,42064772387.8,46065607272.7,4792.11215411,99.9756507874,9.0,AZE,Azerbaijan,Upper middle income,95.1311403855,Europe & Central Asia,0
69.4314641745,,8.73052959502,16.6504086625,49.2672858771,0.0128886003025,-245239641.895,-1355102.8345,0.620976537537,,,79.6838333333,5.56873708528,,0.428858249339,136.650794156,,,,98.3146903282,,724.067370538,343.641731568,,0.121829663703,3.05135643452,18.7481447344,,,,,243776428.702,13.5675517457,6.376324269,0.803333333333,1.2647162491,3.06806548839,46.2753677353,39.4864462513,11.0704859386,16.884295363,43.6292583857,1569164699.53,1879050792.58,177.449158743,88.8863677979,,BDI,Burundi,Low income,,Sub-Saharan Africa,0
45.0792602378,,22.4042272127,34.1646989586,23.3267475693,21.9584356419,-5518471304.46,-14011425454.7,2.04075665314,55.8561142619,37.0955380161,,,,,,,39.2910731686,0.433414044268,5.10854768714,74.7512099076,428.905441073,353.722655218,51.8083333333,87.083550951,559.79795326,,3.55438494861,35.5552274955,,24.9554019213,22159724900.7,4.63277487894,104.749635486,66.8133333333,0.822062704795,1.15615731395,148.809333419,0.835373257297,15.6829877137,24.0541233443,75.1105033984,4.91666829158e+11,4.7703721713e+11,45902.993577,,12.0,BEL,Belgium,High income,,Europe & Central Asia,-1
29.9603878444,,41.3355799929,11.8564618656,12.4742335139,-1.84323453809,-558522257.223,-179421211.625,2.90182505813,,,85.4978666667,8.27051547761,,0.445966281409,40.3376533006,,98.8483566561,0.0,1.15164334392,41.3341973272,-38.2463710018,79.5853848883,,,,72.3209509154,2.34646112393,2.35671344311,0.565765892736,40.0866581545,684219973.094,10.7584760573,39.4779795687,1.96,0.212643347019,0.907423061269,55.6678021736,27.2310421639,17.3138006123,25.8342902419,46.9346675942,6733173746.62,6618868671.93,749.47844254,,6.0,BEN,Benin,Low income,,Sub-Saharan Africa,0
42.4098440546,,21.0855263158,8.38393044646,11.5734908428,-1.89214626384,-656304308.556,-170616334.057,1.19305196027,,,88.3343333333,5.3272281664,,0.206008499399,54.0481042879,,,,19.6610813702,,10158.95,53.7754251949,6.544,,,67.1003980614,2.85379178854,,,36.1378338283,1902294359.2,25.3788719317,19.6706920255,0.933333333333,0.172101808681,1.50387540946,37.3853094759,36.1472842061,9.62287027721,18.1674783093,45.6852374846,7836696687.54,7939498065.85,531.856149953,39.2577781677,10.0,BFA,Burkina Faso,Low income,,Sub-Saharan Africa,1
71.0993316432,,11.1177690712,6.02775651943,5.75860645843,0.184392799339,-5023609600.89,-791661949.109,9.42210743018,14.7278730482,1.58900964143,85.3672666667,25.796263483,,0.253893078585,6.81971650674,,97.8954276008,2.10457239919,2.10121094486,13.056859064,-87.1721895159,1138.89784128,,0.855652427649,65.9278734735,268.114929443,0.579198558634,,17.1674778089,28.1849132057,21540041740.5,21.9675814395,29.3297522747,2.46666666667,0.315101263722,0.00118363731549,40.8853643029,18.3490380193,16.9610308327,26.0409069357,55.610055045,91240319308.3,1.03733079311e+11,614.924189651,,5.0,BGD,Bangladesh,Lower middle income,,South Asia,1
46.8014507296,,34.0960416356,25.059036227,36.5940611252,1.63783301382,-9628605354.04,-8539248179.34,3.45560616584,27.1191037551,6.16696490732,1.8113,92.7807126025,,2.88068641584,,,57.4234228506,7.07175662277,7.40647617772,47.5026548804,287.813411622,69.0107440163,29.5333333333,78.3509829088,,,-0.488584055906,22.0867262346,,45.7454539527,938522404.224,1.90271385302,136.748348761,39.4366666667,2.03345072669,2.02160320582,113.334121178,5.75744777759,,30.1540994062,64.0884528162,50405276765.9,50449424439.3,6728.33662924,,9.0,BGR,Bulgaria,Upper middle income,73.6079265727,Europe & Central Asia,-1
10.9964912281,,0.651929824561,24.0612221374,25.4502598907,2.05798164976,2679388297.87,-769774044.291,,91.0465355963,4.98151222879,,,,,,,100.0,0.0,0.0,-59.793400606,-87.4803149606,1470.52919883,8935.0,,,,1.69253400683,,,0.496542448531,2550396298.24,11.2740320463,118.286410288,45.9533333333,3.19570633728,3.12256064798,133.87714601,,,,,23459698581.6,23767182863.9,21125.7840873,,9.0,BHR,Bahrain,High income,,Middle East & North Africa,0
1.3653013653,,51.4485514486,47.7755583876,21.9014056842,4.41762446265,-2074460083.71,-745822065.677,,,,,,,,,,,,0.0,,-74.8314722222,34.8193806194,,65.8639759895,,,,,,,344799539.093,4.14296236566,104.448972899,30.8066666667,0.464953463481,,96.0865170785,2.22503324424,4.13173824497,14.222224614,83.5527421417,8128688666.67,8080458415.88,23335.5067672,,11.0,BHS,"Bahamas, The",High income,,Latin America & Caribbean,-1
41.7122395833,,42.67578125,14.9799854097,41.4760902521,0.0282736893359,-6490048858.76,-991592305.619,14.4468483766,22.6894261473,,19.2317666667,30.1278067405,,1.76715290188,12.1039605505,,64.464352716,35.535647284,35.535647284,29.4834264185,11.751327414,74.9863216146,0.941126760563,30.6761987135,253.701765597,,1.35505301181,36.3048010316,,46.3447212488,124946944.974,0.751586791117,76.7337021203,33.44,0.655311841409,1.27842957437,81.1936295234,9.03511313155,13.2645265271,27.7888293033,63.1760575652,17492835954.5,17064181482.8,4556.2882706,,9.0,BIH,Bosnia and Herzegovina,Upper middle income,57.6229196453,Europe & Central Asia,-1
43.9683278327,,41.8724468646,12.1874241356,27.9748670406,0.097276957426,-5957933333.33,-1907866666.67,0.87356617875,,,15.0542,194.60673887,,0.678444948534,0.519313210898,,99.722052335,0.122029925139,0.237014286192,86.0486798986,-98.3152918083,46.9833249976,5.01764705882,29.739454257,,,5.02040940751,30.5377891649,21.7347435358,31.0679034337,8037804556.12,17.3166205697,86.4509864213,23.3766666667,4.09548099627,1.49194524913,123.354564993,9.85105049369,29.1410810446,43.9157832559,46.2331662505,51745527425.2,49607140945.5,5429.39156849,99.8232116699,9.0,BLR,Belarus,Upper middle income,74.4115584824,Europe & Central Asia,0
6.70758439281,,61.4400116908,40.8407353164,24.879767591,0.104131139575,-254425098.077,-138225785.134,5.71064339194,,,17.0738,5.22264744731,,4.83910697131,8.74040535965,,,,83.3938339831,,859.166666667,13.4223732281,,35.344990548,319.178009413,1011.56996944,0.584087486717,,,30.9265932932,127639883.346,9.8220631328,49.867686287,26.0333333333,0.819568329595,1.24177739689,120.727124859,12.945204134,13.4346061897,21.5809039824,65.4738918837,1332041650.0,1331071105.37,4351.29822986,,8.0,BLZ,Belize,Upper middle income,39.3870192039,Latin America & Caribbean,0
6.66666666667,,20.0,42.3240096114,28.4099409748,2.4174773976,-1103938921.53,-93070957.0768,23.5148138015,33.6844694824,1.64994989882,,,,,,,,,0.0,,-100.0,1305.31333333,,,,,,,,,-583143613.217,-9.55754847367,120.089905572,79.9668646768,,,76.9997061852,0.796775788148,1.46980872189,8.99853934999,90.2046848619,5937118000.0,6054430254.54,90972.8826541,,13.0,BMU,Bermuda,High income,,North America,-1
34.3825963876,,52.8191636666,10.8959735792,30.0640563421,0.0193861045086,1030990825.9,-430889948.925,6.98337421653,16.4598316179,0.252919800404,27.9845333333,3.74822833152,,1.15140932585,23.3256824075,,59.1452102763,39.2214579444,40.5698008223,-170.053581233,-33.2961390601,8.8618717499,,14.9027618812,66.3239310091,,-0.101065005001,7.01556118386,,49.3080614324,2860221691.5,16.6288126147,49.8516071247,13.2664147723,1.87004789055,1.8809851964,75.8520024545,13.3920478931,14.4980382387,36.9967880689,49.6111642843,15711499985.4,18109747034.1,1634.47098468,99.3159434001,10.0,BOL,Bolivia,Lower middle income,70.2921739705,Latin America & Caribbean,0
32.6499276952,,60.0335002764,4.47731585669,22.8480665864,0.829375602743,30046266295.7,-29384045949.0,0.208241289502,71.0552625828,40.7552792894,1.74406666667,19.1173033637,,0.991331195059,0.116366088775,,9.81914811915,82.5693151446,87.1589596898,6.79678691252,-10.8376266998,23.3008586041,1.02579049638,112.811942913,118.129268098,466.988511456,-0.290412257673,22.724588293,,26.1979724636,2.84994659727e+11,14.5619548701,76.5905361566,34.6433333333,0.718244783993,1.4822805266,24.8853802036,5.27482069803,16.1323530852,26.6809940497,68.0441852522,1.58664300178e+12,2.02271395752e+12,8142.85677082,97.9032643636,10.6666666667,BRA,Brazil,Upper middle income,45.4601754328,Latin America & Caribbean,0
37.2093023256,,14.6511627907,52.1308786124,29.6656583229,1.32408350128,-1160526940.13,-396699552.64,2.57984421972,,,,,,,1.56092343544,,,,0.0,,-80.9523809524,644.910852713,101.25,35.3069502315,,,2.47169556024,0.0354533951667,,41.5321512797,56682149.3625,1.2323943662,106.006080052,61.4333333333,0.470845641409,,92.6689029533,1.35004918543,6.03582937548,13.5272481698,70.4956396879,4581000000.0,4550766848.82,16519.2295943,,11.0,BRB,Barbados,High income,,Latin America & Caribbean,-1
2.28969006958,,72.789373814,18.3500608188,32.8906996732,0.345071863853,6143091789.71,-268469031.588,,,,,,,,,,100.0,0.0,0.0,-520.391804131,-96.6399884232,72.2533206831,,70.1316702322,694.34160496,1349.63056725,,,,,858994634.635,6.86283507004,101.156052468,46.56,4.93371430995,2.80405767906,103.412315941,0.744820638246,12.6860924045,70.2743425416,28.9808368202,12457719867.4,12282565108.6,32744.1929548,,9.0,BRN,Brunei Darussalam,High income,,East Asia & Pacific,0
14.029610585,,70.4522916284,12.9043230375,38.6189905647,,-10636623.5343,-31766492.6729,0.304015351599,,,43.0316333333,1.39406009058,,2.21423551033,19.7689140722,,,,99.9864962538,,,18.2271339997,,3.13233877938,,,-0.907311425644,0.323749391888,0.00129000296337,9.82228141555,378326020.035,29.7920923345,35.5729015592,6.54666666667,,,99.0628835279,18.9832787296,8.49188040532,44.3316854618,36.6850358085,1239727446.76,1339779321.51,1784.1828527,,,BTN,Bhutan,Lower middle income,2.39719547535,South Asia,1
45.6319587811,,20.4467735959,11.9825868667,26.7938250458,-0.156531178782,-177283114.789,-425410098.029,0.472930057097,,,56.3511666667,1.10909823978,,0.098319311381,9.45527774888,,100.0,0.0,0.0,53.5013244695,7406.43333333,3.47344061546,,29.9129557766,215.208717001,439.999887564,2.89619691777,,0.00471901803999,13.2833167991,2386303877.56,19.8781368475,77.6658428482,5.89333333333,1.09248063866,3.01800477988,92.8355355225,2.84624258756,6.8752287995,39.864972314,57.2887850984,10717084180.3,12178903751.9,5447.88511119,,,BWA,Botswana,Upper middle income,73.7742720373,Sub-Saharan Africa,0
8.37373056385,,35.7623037658,,,0.0,,,,,,66.039,61.0064528186,,0.586385343378,97.3650485149,,,,99.8783264749,,553.20618513,6.87234528663,0.0514184397163,0.146448616646,,21.8504234742,-0.494905157019,1.65209668009,3.59205635242,31.1590428327,183736831.32,9.89551807277,14.0473534143,1.05860532035,0.154079394266,1.50963382629,35.3087204795,54.8782953421,6.71550118564,13.8168714893,31.3048331686,1888407938.88,1892991155.46,440.770039134,,,CAF,Central African Republic,Low income,1.39277077941,Sub-Saharan Africa,0
7.10519187127,,38.2043457367,10.756741593,29.7233275914,4.30701181642,26157188428.5,-6647911816.32,0.0838029975881,112.772272838,104.447478943,,,,,,,23.5198464947,59.5514047221,61.2497634282,-54.3630653156,280.200781263,3.65690373318,1.4498245614,215.216236918,,,,21.4052352491,,14.501943478,1.27988251796e+11,8.01559802687,66.0754300319,76.7333333333,0.348387776286,1.27285571528,63.8215072944,1.56062614784,11.9669856537,30.0137519668,68.4256218853,1.4617538014e+12,1.59153254527e+12,43971.4390518,,10.0,CAN,Canada,High income,,North America,0
38.9850524682,,31.070958599,29.3637331038,17.2088556146,9.28969015604,22861914506.0,14309759557.8,0.403893009591,207.981270846,220.916439637,,,,,,,1.29173274517,53.4663350621,55.3744190459,51.8643217687,-9.98470966519,193.530240915,,94.074994786,,,,37.3067447946,,33.8530322975,33818079202.2,5.99635470869,115.05649233,79.2333333333,0.542472911169,0.744359817095,111.52738747,0.832105635294,19.8748289498,26.7482457375,72.4196486272,5.22827664986e+11,5.68444683575e+11,68338.3444543,,12.0,CHE,Switzerland,High income,,Europe & Central Asia,0
21.2041983398,,21.7279148712,11.5452303972,13.1609004282,3.38977251422,15986317605.9,-7574685858.71,0.00179832115661,110.190285781,21.2345452314,,,,,0.247505624977,,53.7027279852,40.5708865405,46.2440238784,67.6007411521,214.381669819,22.3880066135,4.00338983051,53.5541169247,310.764947367,,-0.357158972465,5.98338108331,,39.7525239914,37103581376.9,18.4382504932,89.4816437027,38.2533333333,1.40036767264,2.33477973059,74.5325679096,3.62915489016,12.5034221779,40.0705422432,56.3003028667,1.74888302467e+11,2.04930446057e+11,10507.2916401,99.0129814148,12.0,CHL,Chile,High income,90.443211911,Latin America & Caribbean,0
54.8088101103,,21.0459418515,6.38432654546,25.3743801451,0.86639705891,3.05049134903e+11,-1.13684658851e+11,0.19213697976,78.9247932595,139.805866869,10.2298,10.8329577398,,0.215239422126,0.0744225057194,,81.2119052741,16.0064501172,15.8453028565,6.98253511849,283.363132853,141.091845802,19.6978314966,15.7682992686,,8.17609400019,,,,48.901508682,1.66573070312e+12,36.5368629718,48.0238913313,22.5,0.374334427633,1.9720673479,54.2230777578,10.1953702238,32.2887704872,46.3727425682,43.4318852946,4.38031504218e+12,5.0053545988e+12,3304.99669571,,9.0,CHN,China,Upper middle income,,East Asia & Pacific,1
64.7798742138,,32.7163522013,16.9608037924,12.9865159043,0.0678868929064,3412321641.93,-419838360.381,1.00893570862,31.7696875961,1.0012510439,42.9199,36.7292502466,,0.877572377501,47.2608048243,,64.5876888501,33.6446059252,35.4123111499,-13.3140544327,-100.0,60.5961509434,2.01587714732,,,88.1873021409,-0.274213401714,,15.1304666033,18.6682983732,1947775592.44,8.45447612102,56.5689224796,1.9,0.259371643098,1.61461989887,89.1639048277,21.9573567551,14.0793875336,24.2364439563,53.8061992887,22948677427.1,23684991681.8,1189.84064668,,,CIV,Côte d'Ivoire,Lower middle income,,Sub-Saharan Africa,0
19.5955236826,,43.0623426625,15.6495005112,18.6509710913,-0.109538773288,336905713.121,-343081050.837,0.767410960513,,,65.8797333333,3.16290194499,,0.429446676565,27.4542324165,,26.2181473865,72.4376248037,73.7818526135,-39.7399298282,17.6268708221,41.4087848082,,1.18838714213,9.70956652882,43.8595305114,,,,,2854664136.14,13.0874759166,31.6687886588,3.39,0.301396748908,1.46878196093,45.9809668467,23.2708820817,15.3691403338,29.5606042535,47.1685136648,22378392212.7,22376075332.8,1142.46049445,83.1355667114,6.0,CMR,Cameroon,Lower middle income,4.04191009132,Sub-Saharan Africa,0
30.9058077111,,65.6954612006,45.8281057652,4.74951203643,0.00958003927879,2949922780.73,-2638405259.75,0.176472258885,,,60.2256,9.56352659485,,0.739118289408,13.981200506,,25.0403418361,74.9596581639,72.5036372358,-901.535645519,-63.4818799603,11.2242284041,,1.09330648305,,44.956470439,-9.78382469167,3.84076111769,0.38251093817,7.98397667893,1848970769.33,18.9990599712,51.5558589869,3.84907142549,0.770428989999,1.87691443843,124.9433293,4.1700492145,3.98922478803,73.9238162816,21.9061345031,9949079606.46,10349220628.8,2593.87978845,,10.0,COG,"Congo, Rep.",Lower middle income,,Sub-Saharan Africa,0
38.3325822443,,53.4130118672,5.23145932598,27.8887693301,1.12662703307,984412814.176,-6538844045.59,1.96427433078,48.4013588881,8.06539438479,2.25586666667,21.4958387615,,1.34401006778,1.74289393897,,20.5259413067,78.4218110264,79.4740586933,-212.869816264,-63.9824564981,40.4664512543,,26.9128114391,158.388908091,1063.36087535,-1.46298616601,15.3032389579,,27.8363092499,42249095165.2,16.1092109706,86.6438227623,25.8,1.98997623136,3.61325949301,36.2206523026,7.60389243248,15.1558624101,34.5592063927,57.8369011748,2.28406867686e+11,2.69963117454e+11,5085.44315542,97.9651107788,10.0,COL,Colombia,Upper middle income,,Latin America & Caribbean,0
71.4669532509,,21.6012896292,27.0490738616,21.1595713095,0.0,-142712784.378,-8699239.73865,18.306138411,,,93.8989333333,5.8713036582,,1.42234081121,61.8005372584,,,,11.1257719867,,,357.632634784,,1.05410733003,5.98999155428,53.8068683081,,,,,40481512.5401,8.19163056944,14.1165636946,3.0,,,61.3257740929,42.4098975023,4.29135341588,11.648924086,45.9411543686,498239781.254,498725106.827,748.263536196,,6.0,COM,Comoros,Low income,,Sub-Saharan Africa,0
19.1894127378,,20.9652605459,51.5464893757,37.7556947712,-0.00782242066948,-683983824.113,-176847900.896,8.61008735437,,,92.4016666667,0.376518883106,,0.413931811757,24.5144944436,,,,2.01492584902,,166.666666667,120.080645161,,32.7703002627,108.16813505,1159.8432156,2.34313771729,10.875413393,,30.4933669247,108835049.611,6.98665250567,49.5313212612,14.4277399398,0.507952929067,0.538950054228,87.8553215408,8.19621611286,,18.3077501055,73.4960337816,1671694971.14,1619787376.25,3453.78533869,,6.0,CPV,Cabo Verde,Lower middle income,29.6796462397,Sub-Saharan Africa,0
35.3113983549,,50.125342734,21.2597331851,29.4388410475,0.121929679265,-3727440862.03,-1797231634.0,2.04020954937,6.55744529784,0.18717957237,6.81416666667,79.5663233115,,1.44506299311,1.3214508454,,6.65600898623,76.7834332384,93.3444158317,48.7814827416,454.094357353,86.742603473,,38.0126877868,198.049052774,998.092728279,,31.4396242952,0.169397713083,36.2123356041,5313799892.1,15.6238936001,39.2661506411,31.6733333333,0.480216548056,0.0,95.6102722152,7.70145598944,19.838741495,28.4356467254,63.8628972851,28514196911.7,34511793632.2,6435.60395316,,11.0,CRI,Costa Rica,Upper middle income,71.4235669454,Latin America & Caribbean,0
61.6967305524,,26.6629086809,,,,,,,,,,,,,1.55413109798,,55.1967052565,0.772874221044,3.6474862347,50.6901965788,-46.0955358354,106.07454591,12.9512067156,,,,,,,,5297085829.15,8.90543793642,3.39774782952,12.9866666667,1.48675990544,3.31161682386,38.5995620652,4.99180432118,10.5557953201,20.5178882139,74.4903074649,60496133333.3,61413121993.4,5358.05010805,,9.0,CUB,Cuba,Upper middle income,,Latin America & Caribbean,0
14.0836940837,,18.7063492063,55.5810203313,31.9258337197,8.37909592669,-6671463532.92,-270203051.735,2.15410415219,47.3062452885,10.7447338889,,,,,,,99.6828793863,0.0,0.317120613713,96.8504768314,738521.045189,116.541702742,27.7692307692,66.6656551323,,,,19.1967084535,,36.5926108538,-178684143.339,-0.728503619554,92.3326080459,44.2966666667,1.91946077154,1.73159303259,107.587135484,2.18014744007,6.30171423432,19.7630363371,78.0567550552,25600789880.1,24952889987.6,32513.0984662,,9.0,CYP,Cyprus,High income,,Europe & Central Asia,-1
54.9385113269,,34.3430420712,17.8233648796,25.8002870995,1.75723631325,1359518745.32,-4390965169.28,0.689395773073,26.9457356854,15.5617565627,,,,,,,63.6154457522,2.59570508636,4.68942930144,26.424555731,268.156057915,134.314420712,14.9733840304,38.7127869358,,,1.07688950581,44.9772661627,,26.624445779,6815371001.61,3.29157477533,128.293898876,59.7766666667,0.515215319702,1.33211752175,122.985559124,2.03986803956,24.4546238481,37.5671481093,60.3929838512,2.09917586242e+11,2.07364826538e+11,20227.2724438,,9.0,CZE,Czech Republic,High income,,Europe & Central Asia,-1
